experiment_id,experiment_group,protocol_version,dataset,data_root,outer_target,method,trainer_method,backbone,seed,optimization_seed,source_split_seed,sweep,factor_value,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,config_hash,dataset_fingerprint,status,result_path,checkpoint_path,gpu,exit_code,rerun_reason
sensitivity-lambda_k_0p025-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.025,0.1,0.025,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,4810b5384c5299ec3c37549b89a02f0a722a41ef4e50bbf8e326a55783dedae6,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Cartoon/42/Cartoon_resnet50_lambda_k_0p025_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Cartoon/42/Cartoon_resnet50_lambda_k_0p025_seed42.pt,1,0,
sensitivity-lambda_k_0p025-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.025,0.1,0.025,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,c2cc6819e0bf378dc4e78b5a9d284bf1e1781aeb7cbc059b5431a2ea7f465dc7,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Sketch/42/Sketch_resnet50_lambda_k_0p025_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Sketch/42/Sketch_resnet50_lambda_k_0p025_seed42.pt,1,0,
sensitivity-lambda_k_0p10-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.10,0.1,0.1,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,6fdc40a1a8f9cd02389f1622fd5ba2a66727fe1d62ec6a289283a5468ba5b38d,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Photo/42/Photo_resnet50_lambda_k_0p10_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Photo/42/Photo_resnet50_lambda_k_0p10_seed42.pt,1,0,
sensitivity-lambda_k_0p10-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.10,0.1,0.1,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,95aefa4956dfb4836a3d8abb4d753ca5a0d07b7a153017f04ca04af7d8ce0128,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Art_Painting/42/Art_Painting_resnet50_lambda_k_0p10_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Art_Painting/42/Art_Painting_resnet50_lambda_k_0p10_seed42.pt,1,0,
sensitivity-lambda_k_0p10-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.10,0.1,0.1,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,dd99104f0af46f4c84eeda68f0cdae0c00abd3afc501d564b8bacb56fbfa0be2,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Cartoon/42/Cartoon_resnet50_lambda_k_0p10_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Cartoon/42/Cartoon_resnet50_lambda_k_0p10_seed42.pt,1,0,
sensitivity-lambda_k_0p10-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.10,0.1,0.1,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,4da06f80bf33041d55349d5a8f523feb97e405c967a7a7ccdd3af84b613da852,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Sketch/42/Sketch_resnet50_lambda_k_0p10_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p10/Sketch/42/Sketch_resnet50_lambda_k_0p10_seed42.pt,1,0,
sensitivity-temperature_1-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,1,0.1,0.05,1.0,9,highest_source_validation_accuracy_earliest_exact_tie,5ef178dd927f012b15af3d2d6c1916191f150b66b8d4ccec79d1f645072e09ca,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_1/Photo/42/Photo_resnet50_temperature_1_seed42.json,runs/revision/sensitivity/temperature/temperature_1/Photo/42/Photo_resnet50_temperature_1_seed42.pt,1,0,
sensitivity-temperature_1-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,1,0.1,0.05,1.0,9,highest_source_validation_accuracy_earliest_exact_tie,a55127a0ebd8c17f55dc94f6b6190d7b7b4987f023f1b3882abf5c0658b5c06d,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_1/Art_Painting/42/Art_Painting_resnet50_temperature_1_seed42.json,runs/revision/sensitivity/temperature/temperature_1/Art_Painting/42/Art_Painting_resnet50_temperature_1_seed42.pt,1,0,
sensitivity-temperature_1-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,1,0.1,0.05,1.0,9,highest_source_validation_accuracy_earliest_exact_tie,7bbb31be5936a59c66eef4a080a69317884f1f3412558d9e63339e14fa15ad5e,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_1/Cartoon/42/Cartoon_resnet50_temperature_1_seed42.json,runs/revision/sensitivity/temperature/temperature_1/Cartoon/42/Cartoon_resnet50_temperature_1_seed42.pt,1,0,
sensitivity-temperature_1-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,1,0.1,0.05,1.0,9,highest_source_validation_accuracy_earliest_exact_tie,07b088040cc4c27fb826c0fa51ec27ac9511f938f9a118aca34eeb27e6d423dc,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_1/Sketch/42/Sketch_resnet50_temperature_1_seed42.json,runs/revision/sensitivity/temperature/temperature_1/Sketch/42/Sketch_resnet50_temperature_1_seed42.pt,1,0,
sensitivity-temperature_4-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,4,0.1,0.05,4.0,9,highest_source_validation_accuracy_earliest_exact_tie,7f55b77221f1ad1b18c6fce43aadbbde145f09f3c9e41941f671d38ce3120496,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_4/Photo/42/Photo_resnet50_temperature_4_seed42.json,runs/revision/sensitivity/temperature/temperature_4/Photo/42/Photo_resnet50_temperature_4_seed42.pt,1,0,
sensitivity-temperature_4-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,4,0.1,0.05,4.0,9,highest_source_validation_accuracy_earliest_exact_tie,4f98e9162fffc82062357a6f11413e0bfab94cc8fd2227a579338e0dd94ccf50,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_4/Art_Painting/42/Art_Painting_resnet50_temperature_4_seed42.json,runs/revision/sensitivity/temperature/temperature_4/Art_Painting/42/Art_Painting_resnet50_temperature_4_seed42.pt,1,0,
sensitivity-temperature_4-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,4,0.1,0.05,4.0,9,highest_source_validation_accuracy_earliest_exact_tie,cf5b193a05c52528c9e057a639c193b48844ed9fc105945939c601c5765d2a17,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_4/Cartoon/42/Cartoon_resnet50_temperature_4_seed42.json,runs/revision/sensitivity/temperature/temperature_4/Cartoon/42/Cartoon_resnet50_temperature_4_seed42.pt,1,0,
sensitivity-temperature_4-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,temperature,4,0.1,0.05,4.0,9,highest_source_validation_accuracy_earliest_exact_tie,71e31ad11e40911219491e5cf83480c255dff731983925675d4f63ec87a31490,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/temperature/temperature_4/Sketch/42/Sketch_resnet50_temperature_4_seed42.json,runs/revision/sensitivity/temperature/temperature_4/Sketch/42/Sketch_resnet50_temperature_4_seed42.pt,1,0,
sensitivity-augmentation_M_5-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,5,0.1,0.05,2.0,5,highest_source_validation_accuracy_earliest_exact_tie,937a32c1c2c85b5b2e817b8cd7d1f3ffb5a90e8b26da83ee5952e0e100f78282,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Photo/42/Photo_resnet50_augmentation_M_5_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Photo/42/Photo_resnet50_augmentation_M_5_seed42.pt,1,0,
sensitivity-augmentation_M_5-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,5,0.1,0.05,2.0,5,highest_source_validation_accuracy_earliest_exact_tie,b14d3236783992a690b1e4b3319f522a6d94350d828adbf248b9a42fd665caa9,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Art_Painting/42/Art_Painting_resnet50_augmentation_M_5_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Art_Painting/42/Art_Painting_resnet50_augmentation_M_5_seed42.pt,1,0,
sensitivity-augmentation_M_5-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,5,0.1,0.05,2.0,5,highest_source_validation_accuracy_earliest_exact_tie,d3b92fbfca047089e7970424fd93eff71f50e0c810236d7a2a1bbed8a7881bf9,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Cartoon/42/Cartoon_resnet50_augmentation_M_5_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Cartoon/42/Cartoon_resnet50_augmentation_M_5_seed42.pt,1,0,
sensitivity-augmentation_M_5-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,5,0.1,0.05,2.0,5,highest_source_validation_accuracy_earliest_exact_tie,e19986b51350fa3c902d7b394884314a206c139979bba7f6e80be92a1a7419aa,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Sketch/42/Sketch_resnet50_augmentation_M_5_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_5/Sketch/42/Sketch_resnet50_augmentation_M_5_seed42.pt,1,0,
sensitivity-augmentation_M_13-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,13,0.1,0.05,2.0,13,highest_source_validation_accuracy_earliest_exact_tie,2d3b04e4b5b51665b3c38b46a7415970c716161b0ced83ef4dbb6ccbf1396573,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Photo/42/Photo_resnet50_augmentation_M_13_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Photo/42/Photo_resnet50_augmentation_M_13_seed42.pt,1,0,
sensitivity-augmentation_M_13-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,13,0.1,0.05,2.0,13,highest_source_validation_accuracy_earliest_exact_tie,09e0f0bab5e9465de53cc052838221988c2b24420c659e0559fe057d11cdcad0,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Art_Painting/42/Art_Painting_resnet50_augmentation_M_13_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Art_Painting/42/Art_Painting_resnet50_augmentation_M_13_seed42.pt,1,0,
sensitivity-augmentation_M_13-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,13,0.1,0.05,2.0,13,highest_source_validation_accuracy_earliest_exact_tie,12911aeefba7f4289e837d81588ba65501673e70d1f2c6e4fa5821e71c8837c1,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Cartoon/42/Cartoon_resnet50_augmentation_M_13_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Cartoon/42/Cartoon_resnet50_augmentation_M_13_seed42.pt,1,0,
sensitivity-augmentation_M_13-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,augmentation_M,13,0.1,0.05,2.0,13,highest_source_validation_accuracy_earliest_exact_tie,c79cc920202eb5ac097f37c3ab37a6b8596e2bddce28fcf968a4b3f6324bbcda,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Sketch/42/Sketch_resnet50_augmentation_M_13_seed42.json,runs/revision/sensitivity/augmentation_M/augmentation_M_13/Sketch/42/Sketch_resnet50_augmentation_M_13_seed42.pt,1,0,
