experiment_id,priority,experiment_group,dataset,target,method,model,seed,selection_protocol,train_domains,validation_domain,epochs,batch_size,result_path,diagnostics_path,save_checkpoint,status,gpu,attempts,exit_code,error
formal_pacs_resnet50_cgc_Cartoon_42,10,formal_cgc,pacs,Cartoon,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Cartoon/42/pacs_Cartoon_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Cartoon/42,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Cartoon_123,10,formal_cgc,pacs,Cartoon,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Cartoon/123/pacs_Cartoon_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Cartoon/123,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Cartoon_3407,10,formal_cgc,pacs,Cartoon,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Cartoon/3407/pacs_Cartoon_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Cartoon/3407,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Cartoon_2026,10,formal_cgc,pacs,Cartoon,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Cartoon/2026/pacs_Cartoon_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Cartoon/2026,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Cartoon_2027,10,formal_cgc,pacs,Cartoon,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Cartoon/2027/pacs_Cartoon_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Cartoon/2027,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Sketch_42,10,formal_cgc,pacs,Sketch,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Sketch/42/pacs_Sketch_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Sketch/42,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Sketch_123,10,formal_cgc,pacs,Sketch,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Sketch/123/pacs_Sketch_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Sketch/123,1,complete,0,1,0,
formal_pacs_resnet50_cgc_Sketch_3407,10,formal_cgc,pacs,Sketch,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Sketch/3407/pacs_Sketch_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Sketch/3407,1,complete,1,1,0,
formal_pacs_resnet50_cgc_Sketch_2026,10,formal_cgc,pacs,Sketch,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Sketch/2026/pacs_Sketch_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Sketch/2026,1,complete,1,1,0,
formal_pacs_resnet50_cgc_Sketch_2027,10,formal_cgc,pacs,Sketch,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Sketch/2027/pacs_Sketch_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Sketch/2027,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_Caltech101_42,10,formal_cgc,vlcs,Caltech101,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/Caltech101/42/vlcs_Caltech101_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/Caltech101/42,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_Caltech101_123,10,formal_cgc,vlcs,Caltech101,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/Caltech101/123/vlcs_Caltech101_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/Caltech101/123,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_Caltech101_3407,10,formal_cgc,vlcs,Caltech101,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/Caltech101/3407/vlcs_Caltech101_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/Caltech101/3407,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_Caltech101_2026,10,formal_cgc,vlcs,Caltech101,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/Caltech101/2026/vlcs_Caltech101_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/Caltech101/2026,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_Caltech101_2027,10,formal_cgc,vlcs,Caltech101,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/Caltech101/2027/vlcs_Caltech101_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/Caltech101/2027,1,complete,2,1,0,
formal_vlcs_resnet50_cgc_LabelMe_42,10,formal_cgc,vlcs,LabelMe,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/LabelMe/42/vlcs_LabelMe_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/LabelMe/42,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_LabelMe_123,10,formal_cgc,vlcs,LabelMe,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/LabelMe/123/vlcs_LabelMe_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/LabelMe/123,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_LabelMe_3407,10,formal_cgc,vlcs,LabelMe,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/LabelMe/3407/vlcs_LabelMe_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/LabelMe/3407,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_LabelMe_2026,10,formal_cgc,vlcs,LabelMe,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/LabelMe/2026/vlcs_LabelMe_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/LabelMe/2026,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_LabelMe_2027,10,formal_cgc,vlcs,LabelMe,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/LabelMe/2027/vlcs_LabelMe_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/LabelMe/2027,1,complete,2,1,0,
formal_vlcs_resnet50_cgc_SUN09_42,10,formal_cgc,vlcs,SUN09,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/SUN09/42/vlcs_SUN09_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/SUN09/42,1,complete,2,1,0,
formal_vlcs_resnet50_cgc_SUN09_123,10,formal_cgc,vlcs,SUN09,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/SUN09/123/vlcs_SUN09_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/SUN09/123,1,complete,2,1,0,
formal_vlcs_resnet50_cgc_SUN09_3407,10,formal_cgc,vlcs,SUN09,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/SUN09/3407/vlcs_SUN09_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/SUN09/3407,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_SUN09_2026,10,formal_cgc,vlcs,SUN09,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/SUN09/2026/vlcs_SUN09_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/SUN09/2026,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_SUN09_2027,10,formal_cgc,vlcs,SUN09,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/SUN09/2027/vlcs_SUN09_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/SUN09/2027,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_VOC2007_42,10,formal_cgc,vlcs,VOC2007,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/VOC2007/42/vlcs_VOC2007_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/VOC2007/42,1,complete,1,1,0,
formal_vlcs_resnet50_cgc_VOC2007_123,10,formal_cgc,vlcs,VOC2007,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/VOC2007/123/vlcs_VOC2007_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/VOC2007/123,1,complete,2,1,0,
formal_vlcs_resnet50_cgc_VOC2007_3407,10,formal_cgc,vlcs,VOC2007,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/VOC2007/3407/vlcs_VOC2007_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/VOC2007/3407,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_VOC2007_2026,10,formal_cgc,vlcs,VOC2007,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/VOC2007/2026/vlcs_VOC2007_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/VOC2007/2026,1,complete,0,1,0,
formal_vlcs_resnet50_cgc_VOC2007_2027,10,formal_cgc,vlcs,VOC2007,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/vlcs/resnet50/cgc/VOC2007/2027/vlcs_VOC2007_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/vlcs/resnet50/cgc/VOC2007/2027,1,complete,0,1,0,
formal_officehome_resnet50_cgc_Art_42,10,formal_cgc,officehome,Art,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Art/42/officehome_Art_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Art/42,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Art_123,10,formal_cgc,officehome,Art,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Art/123/officehome_Art_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Art/123,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Art_3407,10,formal_cgc,officehome,Art,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Art/3407/officehome_Art_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Art/3407,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Art_2026,10,formal_cgc,officehome,Art,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Art/2026/officehome_Art_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Art/2026,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Art_2027,10,formal_cgc,officehome,Art,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Art/2027/officehome_Art_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Art/2027,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Clipart_42,10,formal_cgc,officehome,Clipart,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Clipart/42/officehome_Clipart_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Clipart/42,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Clipart_123,10,formal_cgc,officehome,Clipart,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Clipart/123/officehome_Clipart_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Clipart/123,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Clipart_3407,10,formal_cgc,officehome,Clipart,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Clipart/3407/officehome_Clipart_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Clipart/3407,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Clipart_2026,10,formal_cgc,officehome,Clipart,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Clipart/2026/officehome_Clipart_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Clipart/2026,1,complete,0,1,0,
formal_officehome_resnet50_cgc_Clipart_2027,10,formal_cgc,officehome,Clipart,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Clipart/2027/officehome_Clipart_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Clipart/2027,1,complete,0,1,0,
formal_officehome_resnet50_cgc_Product_42,10,formal_cgc,officehome,Product,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Product/42/officehome_Product_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Product/42,1,complete,0,1,0,
formal_officehome_resnet50_cgc_Product_123,10,formal_cgc,officehome,Product,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Product/123/officehome_Product_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Product/123,1,complete,0,1,0,
formal_officehome_resnet50_cgc_Product_3407,10,formal_cgc,officehome,Product,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Product/3407/officehome_Product_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Product/3407,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Product_2026,10,formal_cgc,officehome,Product,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Product/2026/officehome_Product_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Product/2026,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Product_2027,10,formal_cgc,officehome,Product,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Product/2027/officehome_Product_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Product/2027,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Real_World_42,10,formal_cgc,officehome,Real_World,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Real_World/42/officehome_Real_World_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Real_World/42,1,complete,2,1,0,
formal_officehome_resnet50_cgc_Real_World_123,10,formal_cgc,officehome,Real_World,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Real_World/123/officehome_Real_World_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Real_World/123,1,complete,0,1,0,
formal_officehome_resnet50_cgc_Real_World_3407,10,formal_cgc,officehome,Real_World,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Real_World/3407/officehome_Real_World_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Real_World/3407,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Real_World_2026,10,formal_cgc,officehome,Real_World,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Real_World/2026/officehome_Real_World_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Real_World/2026,1,complete,1,1,0,
formal_officehome_resnet50_cgc_Real_World_2027,10,formal_cgc,officehome,Real_World,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/officehome/resnet50/cgc/Real_World/2027/officehome_Real_World_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/officehome/resnet50/cgc/Real_World/2027,1,complete,2,1,0,
formal_pacs_vit_small_cgc_Photo_42,11,formal_cgc,pacs,Photo,cgc,vit-small,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Photo/42/pacs_Photo_vit-small_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Photo/42,1,complete,1,1,0,
formal_pacs_vit_small_cgc_Photo_123,11,formal_cgc,pacs,Photo,cgc,vit-small,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Photo/123/pacs_Photo_vit-small_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Photo/123,1,complete,0,1,0,
formal_pacs_vit_small_cgc_Photo_3407,11,formal_cgc,pacs,Photo,cgc,vit-small,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Photo/3407/pacs_Photo_vit-small_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Photo/3407,1,complete,0,1,0,
formal_pacs_vit_small_cgc_Photo_2026,11,formal_cgc,pacs,Photo,cgc,vit-small,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Photo/2026/pacs_Photo_vit-small_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Photo/2026,1,complete,0,1,0,
formal_pacs_vit_small_cgc_Photo_2027,11,formal_cgc,pacs,Photo,cgc,vit-small,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Photo/2027/pacs_Photo_vit-small_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Photo/2027,1,complete,2,1,0,
formal_pacs_vit_small_cgc_Art_Painting_42,11,formal_cgc,pacs,Art_Painting,cgc,vit-small,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Art_Painting/42/pacs_Art_Painting_vit-small_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Art_Painting/42,1,complete,1,1,0,
formal_pacs_vit_small_cgc_Art_Painting_123,11,formal_cgc,pacs,Art_Painting,cgc,vit-small,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Art_Painting/123/pacs_Art_Painting_vit-small_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Art_Painting/123,1,complete,1,1,0,
formal_pacs_vit_small_cgc_Art_Painting_3407,11,formal_cgc,pacs,Art_Painting,cgc,vit-small,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Art_Painting/3407/pacs_Art_Painting_vit-small_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Art_Painting/3407,1,complete,2,1,0,
formal_pacs_vit_small_cgc_Art_Painting_2026,11,formal_cgc,pacs,Art_Painting,cgc,vit-small,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Art_Painting/2026/pacs_Art_Painting_vit-small_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Art_Painting/2026,1,complete,2,1,0,
formal_pacs_vit_small_cgc_Art_Painting_2027,11,formal_cgc,pacs,Art_Painting,cgc,vit-small,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Art_Painting/2027/pacs_Art_Painting_vit-small_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Art_Painting/2027,1,complete,0,1,0,
formal_pacs_vit_small_cgc_Cartoon_42,11,formal_cgc,pacs,Cartoon,cgc,vit-small,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Cartoon/42/pacs_Cartoon_vit-small_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Cartoon/42,1,complete,0,1,0,
formal_pacs_vit_small_cgc_Cartoon_123,11,formal_cgc,pacs,Cartoon,cgc,vit-small,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Cartoon/123/pacs_Cartoon_vit-small_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Cartoon/123,1,complete,1,1,0,
formal_pacs_vit_small_cgc_Cartoon_3407,11,formal_cgc,pacs,Cartoon,cgc,vit-small,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Cartoon/3407/pacs_Cartoon_vit-small_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Cartoon/3407,1,complete,1,1,0,
formal_pacs_vit_small_cgc_Cartoon_2026,11,formal_cgc,pacs,Cartoon,cgc,vit-small,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/vit-small/cgc/Cartoon/2026/pacs_Cartoon_vit-small_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/vit-small/cgc/Cartoon/2026,1,complete,0,1,0,
